year,pop
1970,240774
1971,248000
1972,255500
1973,259800
1974,267200
1975,269900
1976,268400
1977,275300
1978,278200
1979,283600
1980,287896
1981,293314
1982,295615
1983,297531
1984,299823
1985,302514
1986,304710
1987,307536
1988,312337
1989,316438
1990,321857
1991,325834
1992,330074
1993,335286
1994,341207
1995,347370
1996,354570
1997,361184
1998,367948
1999,374851
2000,381147
2001,386330
2002,391028
2003,395388
2004,400704
2005,407259
2006,417992
2007,430737
2008,442229
2009,450853
2010,452688
2011,458972
2012,466172
2013,473196
2014,481737
2015,491218
2016,499595
2017,507484
2018,515572
2019,524748
2020,527249
2021,534648
2022,547845
2023,558036
